,city_numeric,street_numeric,area,number_of_rooms,floors,floor,price_per_square_m,total_price,build_year,0heating,Aeroterminis,Autonominis,Centrinis,Centrinis-kolektorinis,Dujinis,Elektrinis,Kietu kuru,Kitas,0furnishment,Dalinė apdaila,Neįrengtas / Statomas,Pilnai įrengtas,Reikalingas remontas,Suremontuotas,Tvarkingas,0building,Blokinis,Karkasinis,Medinis,Monolitas,Mūrinis
1172,7,44,60.0,2,15,3,2166.67,130000.0,2002,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0

1174,47,243,77.0,3,5,4,1128.57,86900.0,1996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1175,68,137,129.79,5,2,1,4584.33,595000.0,1989,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1176,47,27,22.32,1,4,1,2105.73,47000.0,2022,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1177,47,27,51.39,3,4,2,1546.99,79500.0,2022,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1178,47,27,36.25,2,4,2,1600.0,58000.0,2022,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1179,47,27,35.95,2,4,3,1585.54,57000.0,2022,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1180,47,27,22.32,1,4,3,1957.89,43700.0,2022,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1181,47,27,42.76,2,4,4,1403.18,60000.0,2022,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1182,47,27,51.39,3,4,4,1663.75,85500.0,2022,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1183,75,480,50.94,2,4,2,1845.31,94000.0,1995,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1184,116,131,84.0,4,5,2,892.86,75000.0,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1185,109,529,60.0,3,3,2,2916.67,175000.0,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1186,47,281,16.0,1,5,4,781.25,12500.0,1964,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1187,86,187,61.0,3,5,1,393.44,24000.0,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1188,47,194,50.0,2,5,5,1360.0,68000.0,1966,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1189,109,335,51.6,2,12,5,2015.5,104000.0,2023,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1190,42,210,29.75,1,5,2,2181.51,64900.0,1959,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1191,93,298,41.0,2,2,2,2926.83,120000.0,2022,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1192,109,181,176.0,6,1,1,1534.09,270000.0,1940,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1193,109,410,68.58,3,9,1,2362.2,162000.0,2022,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1194,75,281,74.75,4,3,1,1538.46,115000.0,1989,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1195,109,410,77.65,3,9,9,2408.24,187000.0,2021,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1196,47,261,78.0,3,5,2,1410.26,110000.0,1987,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1197,71,400,57.0,3,1,1,2140.35,122000.0,2022,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1198,109,52,64.29,2,2,1,2317.62,149000.0,1940,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1199,31,271,34.92,2,2,2,658.65,23000.0,1984,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1200,109,335,61.43,3,12,5,1790.66,110000.0,2023,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1201,109,335,33.57,1,12,5,2353.29,79000.0,2023,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1202,42,210,47.35,2,5,2,1790.92,84800.0,1965,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1203,79,363,43.0,1,5,5,1325.58,57000.0,1987,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1204,47,281,36.0,2,5,5,819.44,29500.0,1963,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1205,20,430,64.36,3,5,5,3800.0,244568.0,2017,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1206,113,434,47.0,2,5,2,1765.96,83000.0,1967,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1207,116,113,43.46,2,5,5,1069.95,46500.0,1992,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1208,47,73,37.84,2,5,4,3937.63,149000.0,1977,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1209,42,380,44.0,2,3,2,3000.0,132000.0,1951,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1210,109,357,79.4,4,3,2,3778.34,300000.0,1940,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1211,47,536,18.0,1,5,3,1111.11,20000.0,1964,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1212,47,205,64.0,3,5,5,1859.38,119000.0,1978,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1213,80,221,48.42,2,5,2,1776.13,86000.0,2022,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1214,42,483,12.6,1,5,3,1253.97,15800.0,1974,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1215,1,355,68.0,3,5,4,602.94,41000.0,1977,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1216,109,401,38.0,2,2,2,1000.0,38000.0,1940,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1217,1,416,108.4,4,4,4,1451.99,157396.0,2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1218,109,410,76.95,3,9,2,2313.19,178000.0,2022,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1219,1,416,96.62,3,4,4,1500.72,145000.0,2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1220,109,410,85.16,3,9,7,2242.84,191000.0,2022,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1221,42,256,90.0,4,2,1,1655.56,149000.0,2023,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1222,47,514,91.0,4,5,3,1038.46,94500.0,1984,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1223,109,347,46.93,2,4,1,4438.95,208320.0,2023,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1224,109,347,73.87,3,4,1,4301.14,317725.0,2023,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1225,116,361,79.07,3,2,1,1391.17,110000.0,1941,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1226,109,466,102.26,3,5,2,4302.76,440000.0,2007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1227,103,229,48.33,2,3,3,1613.9,78000.0,2009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1228,109,20,68.5,3,5,2,3980.0,272630.0,2022,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1229,47,213,78.0,4,5,2,1474.36,115000.0,1970,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1230,109,347,58.81,3,4,3,4807.89,282752.0,2023,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1231,91,411,50.0,2,4,3,1600.0,80000.0,1957,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1232,75,343,39.0,2,3,3,3461.54,135000.0,2016,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1233,76,16,46.56,2,2,1,751.72,35000.0,1960,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1234,47,236,40.0,1,4,1,2800.0,112000.0,1953,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1235,61,408,44.43,2,5,1,945.31,42000.0,1970,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1236,109,325,60.46,2,5,2,4134.97,250000.0,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1237,109,259,60.46,2,5,2,4134.97,250000.0,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1238,102,509,63.2,3,2,1,941.46,59500.0,1940,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1239,113,168,43.0,2,3,1,2093.02,90000.0,1936,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1240,109,259,60.46,2,5,2,4134.97,250000.0,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1241,42,276,31.0,2,8,1,2741.94,85000.0,2022,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1242,47,275,32.0,2,4,2,218.75,7000.0,1958,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1243,109,384,41.27,1,5,4,1693.72,69900.0,1989,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1244,47,559,133.0,4,3,2,2300.0,305900.0,2019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1245,109,219,55.03,2,7,6,5905.87,325000.0,2020,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1246,109,567,66.39,3,5,5,4502.18,298900.0,1912,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1247,84,369,20.0,1,3,1,1550.0,31000.0,1960,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1248,116,439,45.0,2,5,4,1066.64,47999.0,1967,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1249,44,511,88.74,3,5,1,507.1,45000.0,1978,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1250,116,518,69.87,3,2,1,601.12,42000.0,1973,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
